idx,threshold,set,source,label_true,label_pred,cost_usd,tokens,genre
53,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
54,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
55,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
56,0.85,matched,encoder,neutral,neutral,0.0,0,slate
57,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
58,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
59,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
60,0.85,matched,encoder,neutral,neutral,0.0,0,government
61,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
62,0.85,matched,encoder,entailment,entailment,0.0,0,slate
63,0.85,matched,encoder,neutral,contradiction,0.0,0,government
64,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
65,0.85,matched,encoder,neutral,neutral,0.0,0,government
66,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
67,0.85,matched,encoder,neutral,neutral,0.0,0,slate
68,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
69,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
70,0.85,matched,encoder,entailment,entailment,0.0,0,government
71,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
72,0.85,matched,encoder,entailment,entailment,0.0,0,slate
73,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
74,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
75,0.85,matched,encoder,entailment,entailment,0.0,0,government
76,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
77,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
78,0.85,matched,encoder,neutral,neutral,0.0,0,government
79,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
80,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
81,0.85,matched,encoder,neutral,neutral,0.0,0,travel
82,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
83,0.85,matched,encoder,entailment,entailment,0.0,0,slate
84,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
85,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
86,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
87,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
88,0.85,matched,encoder,entailment,entailment,0.0,0,travel
89,0.85,matched,encoder,entailment,entailment,0.0,0,slate
90,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
91,0.85,matched,encoder,entailment,entailment,0.0,0,government
92,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
93,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
94,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
95,0.85,matched,encoder,neutral,neutral,0.0,0,slate
96,0.85,matched,encoder,neutral,entailment,0.0,0,fiction
97,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
98,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
99,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
100,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
101,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
102,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
103,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
104,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
105,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
106,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
107,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
108,0.85,matched,encoder,entailment,neutral,0.0,0,telephone
109,0.85,matched,encoder,entailment,neutral,0.0,0,government
110,0.85,matched,encoder,entailment,entailment,0.0,0,travel
111,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
112,0.85,matched,encoder,entailment,entailment,0.0,0,travel
113,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
114,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
115,0.85,matched,encoder,neutral,neutral,0.0,0,travel
116,0.85,matched,encoder,entailment,entailment,0.0,0,slate
117,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
118,0.85,matched,encoder,entailment,entailment,0.0,0,government
119,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
120,0.85,matched,encoder,neutral,neutral,0.0,0,travel
121,0.85,matched,encoder,neutral,neutral,0.0,0,travel
122,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
123,0.85,matched,encoder,neutral,neutral,0.0,0,government
124,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
125,0.85,matched,encoder,neutral,neutral,0.0,0,travel
126,0.85,matched,encoder,neutral,neutral,0.0,0,slate
127,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
128,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
129,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
130,0.85,matched,encoder,neutral,neutral,0.0,0,slate
131,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
132,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
133,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
134,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
135,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
136,0.85,matched,encoder,entailment,neutral,0.0,0,government
137,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
138,0.85,matched,encoder,neutral,neutral,0.0,0,travel
139,0.85,matched,encoder,neutral,neutral,0.0,0,government
140,0.85,matched,encoder,neutral,neutral,0.0,0,government
141,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
142,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
143,0.85,matched,encoder,entailment,entailment,0.0,0,government
144,0.85,matched,api,neutral,neutral,0.0003,117,telephone
145,0.85,matched,encoder,entailment,entailment,0.0,0,government
146,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
147,0.85,matched,encoder,neutral,entailment,0.0,0,telephone
148,0.85,matched,encoder,neutral,neutral,0.0,0,slate
149,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
150,0.85,matched,encoder,neutral,neutral,0.0,0,slate
151,0.85,matched,encoder,entailment,entailment,0.0,0,travel
152,0.85,matched,encoder,entailment,entailment,0.0,0,slate
153,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
154,0.85,matched,encoder,entailment,neutral,0.0,0,slate
155,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
156,0.85,matched,encoder,neutral,contradiction,0.0,0,government
157,0.85,matched,encoder,entailment,entailment,0.0,0,travel
158,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
159,0.85,matched,encoder,entailment,entailment,0.0,0,travel
160,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
161,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
162,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
163,0.85,matched,encoder,neutral,neutral,0.0,0,slate
164,0.85,matched,encoder,entailment,entailment,0.0,0,government
165,0.85,matched,encoder,entailment,entailment,0.0,0,government
166,0.85,matched,encoder,entailment,entailment,0.0,0,government
167,0.85,matched,encoder,neutral,neutral,0.0,0,slate
168,0.85,matched,encoder,entailment,entailment,0.0,0,travel
169,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
170,0.85,matched,encoder,entailment,entailment,0.0,0,travel
171,0.85,matched,encoder,neutral,neutral,0.0,0,government
172,0.85,matched,encoder,neutral,contradiction,0.0,0,government
173,0.85,matched,encoder,neutral,neutral,0.0,0,travel
174,0.85,matched,encoder,neutral,neutral,0.0,0,government
175,0.85,matched,encoder,neutral,neutral,0.0,0,government
176,0.85,matched,encoder,neutral,neutral,0.0,0,government
177,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
178,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
179,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
180,0.85,matched,encoder,neutral,contradiction,0.0,0,travel
181,0.85,matched,encoder,entailment,neutral,0.0,0,travel
182,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
183,0.85,matched,encoder,entailment,contradiction,0.0,0,fiction
184,0.85,matched,encoder,neutral,entailment,0.0,0,telephone
185,0.85,matched,encoder,neutral,neutral,0.0,0,government
186,0.85,matched,encoder,contradiction,neutral,0.0,0,slate
187,0.85,matched,encoder,neutral,neutral,0.0,0,slate
188,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
189,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
190,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
191,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
192,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
193,0.85,matched,encoder,entailment,entailment,0.0,0,slate
194,0.85,matched,encoder,entailment,entailment,0.0,0,travel
195,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
196,0.85,matched,encoder,entailment,entailment,0.0,0,travel
197,0.85,matched,encoder,neutral,neutral,0.0,0,government
198,0.85,matched,encoder,entailment,neutral,0.0,0,government
199,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
200,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
201,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
202,0.85,matched,encoder,entailment,entailment,0.0,0,government
203,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
204,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
205,0.85,matched,encoder,entailment,entailment,0.0,0,government
206,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
207,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
208,0.85,matched,encoder,neutral,neutral,0.0,0,travel
209,0.85,matched,encoder,neutral,neutral,0.0,0,government
210,0.85,matched,encoder,entailment,entailment,0.0,0,travel
211,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
212,0.85,matched,encoder,entailment,neutral,0.0,0,government
213,0.85,matched,encoder,entailment,neutral,0.0,0,slate
214,0.85,matched,encoder,neutral,neutral,0.0,0,slate
215,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
216,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
217,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
218,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
219,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
220,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
221,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
222,0.85,matched,encoder,neutral,neutral,0.0,0,government
223,0.85,matched,encoder,entailment,entailment,0.0,0,travel
224,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
225,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
226,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
227,0.85,matched,encoder,neutral,contradiction,0.0,0,telephone
228,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
229,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
230,0.85,matched,encoder,neutral,contradiction,0.0,0,telephone
231,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
232,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
233,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
234,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
235,0.85,matched,encoder,neutral,neutral,0.0,0,government
236,0.85,matched,encoder,neutral,neutral,0.0,0,slate
237,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
238,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
239,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
240,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
241,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
242,0.85,matched,encoder,entailment,entailment,0.0,0,government
243,0.85,matched,encoder,neutral,neutral,0.0,0,government
244,0.85,matched,encoder,entailment,entailment,0.0,0,government
245,0.85,matched,encoder,entailment,entailment,0.0,0,government
246,0.85,matched,encoder,entailment,entailment,0.0,0,government
247,0.85,matched,encoder,neutral,neutral,0.0,0,travel
248,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
249,0.85,matched,encoder,contradiction,neutral,0.0,0,travel
250,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
251,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
252,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
253,0.85,matched,encoder,entailment,entailment,0.0,0,government
254,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
255,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
256,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
257,0.85,matched,api,entailment,entailment,0.0003975,150,telephone
258,0.85,matched,encoder,neutral,neutral,0.0,0,travel
259,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
260,0.85,matched,encoder,entailment,neutral,0.0,0,fiction
261,0.85,matched,encoder,neutral,contradiction,0.0,0,travel
262,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
263,0.85,matched,encoder,neutral,neutral,0.0,0,travel
264,0.85,matched,encoder,neutral,contradiction,0.0,0,government
265,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
266,0.85,matched,encoder,entailment,entailment,0.0,0,slate
267,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
268,0.85,matched,encoder,neutral,contradiction,0.0,0,travel
269,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
270,0.85,matched,encoder,neutral,neutral,0.0,0,slate
271,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
272,0.85,matched,encoder,entailment,entailment,0.0,0,slate
273,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
274,0.85,matched,encoder,entailment,entailment,0.0,0,slate
275,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
276,0.85,matched,encoder,neutral,neutral,0.0,0,travel
277,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
278,0.85,matched,api,contradiction,contradiction,0.0004075,154,travel
279,0.85,matched,encoder,entailment,entailment,0.0,0,government
280,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
281,0.85,matched,encoder,contradiction,neutral,0.0,0,slate
282,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
283,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
284,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
285,0.85,matched,encoder,entailment,neutral,0.0,0,travel
286,0.85,matched,encoder,neutral,neutral,0.0,0,travel
287,0.85,matched,encoder,entailment,entailment,0.0,0,travel
288,0.85,matched,encoder,entailment,entailment,0.0,0,slate
289,0.85,matched,encoder,neutral,neutral,0.0,0,government
290,0.85,matched,encoder,entailment,entailment,0.0,0,travel
291,0.85,matched,encoder,entailment,entailment,0.0,0,slate
292,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
293,0.85,matched,encoder,entailment,entailment,0.0,0,government
294,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
295,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
296,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
297,0.85,matched,encoder,entailment,entailment,0.0,0,government
298,0.85,matched,encoder,neutral,neutral,0.0,0,government
299,0.85,matched,encoder,neutral,neutral,0.0,0,slate
300,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
301,0.85,matched,encoder,neutral,neutral,0.0,0,government
302,0.85,matched,encoder,neutral,entailment,0.0,0,travel
303,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
304,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
305,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
306,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
307,0.85,matched,encoder,neutral,neutral,0.0,0,government
308,0.85,matched,encoder,entailment,entailment,0.0,0,travel
309,0.85,matched,encoder,neutral,neutral,0.0,0,travel
310,0.85,matched,encoder,neutral,contradiction,0.0,0,fiction
311,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
312,0.85,matched,encoder,neutral,neutral,0.0,0,slate
313,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
314,0.85,matched,encoder,entailment,entailment,0.0,0,slate
315,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
316,0.85,matched,encoder,entailment,entailment,0.0,0,government
317,0.85,matched,encoder,neutral,neutral,0.0,0,travel
318,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
319,0.85,matched,encoder,entailment,entailment,0.0,0,government
320,0.85,matched,encoder,contradiction,neutral,0.0,0,fiction
321,0.85,matched,encoder,entailment,entailment,0.0,0,government
322,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
323,0.85,matched,encoder,entailment,entailment,0.0,0,slate
324,0.85,matched,encoder,neutral,neutral,0.0,0,slate
325,0.85,matched,encoder,entailment,entailment,0.0,0,slate
326,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
327,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
328,0.85,matched,encoder,neutral,neutral,0.0,0,government
329,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
330,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
331,0.85,matched,encoder,contradiction,neutral,0.0,0,telephone
332,0.85,matched,encoder,entailment,entailment,0.0,0,slate
333,0.85,matched,encoder,entailment,entailment,0.0,0,slate
334,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
335,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
336,0.85,matched,encoder,neutral,contradiction,0.0,0,fiction
337,0.85,matched,encoder,entailment,entailment,0.0,0,government
338,0.85,matched,encoder,entailment,entailment,0.0,0,slate
339,0.85,matched,encoder,contradiction,neutral,0.0,0,travel
340,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
341,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
342,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
343,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
344,0.85,matched,encoder,neutral,entailment,0.0,0,telephone
345,0.85,matched,encoder,entailment,entailment,0.0,0,government
346,0.85,matched,encoder,neutral,contradiction,0.0,0,travel
347,0.85,matched,encoder,entailment,entailment,0.0,0,slate
348,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
349,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
350,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
351,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
352,0.85,matched,encoder,entailment,entailment,0.0,0,government
353,0.85,matched,encoder,entailment,neutral,0.0,0,telephone
354,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
355,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
356,0.85,matched,encoder,entailment,entailment,0.0,0,travel
357,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
358,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
359,0.85,matched,encoder,entailment,entailment,0.0,0,travel
360,0.85,matched,encoder,entailment,entailment,0.0,0,government
361,0.85,matched,encoder,contradiction,neutral,0.0,0,fiction
362,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
363,0.85,matched,encoder,entailment,entailment,0.0,0,travel
364,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
365,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
366,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
367,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
368,0.85,matched,encoder,entailment,entailment,0.0,0,government
369,0.85,matched,encoder,contradiction,neutral,0.0,0,telephone
370,0.85,matched,encoder,neutral,neutral,0.0,0,slate
371,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
372,0.85,matched,encoder,entailment,entailment,0.0,0,travel
373,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
374,0.85,matched,encoder,neutral,neutral,0.0,0,government
375,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
376,0.85,matched,encoder,entailment,entailment,0.0,0,slate
377,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
378,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
379,0.85,matched,encoder,entailment,entailment,0.0,0,travel
380,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
381,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
382,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
383,0.85,matched,encoder,entailment,entailment,0.0,0,government
384,0.85,matched,api,neutral,contradiction,0.0003725,140,travel
385,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
386,0.85,matched,encoder,neutral,neutral,0.0,0,slate
387,0.85,matched,encoder,entailment,entailment,0.0,0,government
388,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
389,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
390,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
391,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
392,0.85,matched,encoder,neutral,neutral,0.0,0,government
393,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
394,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
395,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
396,0.85,matched,encoder,entailment,entailment,0.0,0,travel
397,0.85,matched,encoder,neutral,neutral,0.0,0,government
398,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
399,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
400,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
401,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
402,0.85,matched,encoder,entailment,entailment,0.0,0,government
403,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
404,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
405,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
406,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
407,0.85,matched,encoder,neutral,neutral,0.0,0,telephone
408,0.85,matched,encoder,neutral,neutral,0.0,0,slate
409,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
410,0.85,matched,encoder,neutral,neutral,0.0,0,travel
411,0.85,matched,encoder,neutral,neutral,0.0,0,government
412,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
413,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
414,0.85,matched,api,neutral,contradiction,0.000335,125,slate
415,0.85,matched,encoder,entailment,entailment,0.0,0,government
416,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
417,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
418,0.85,matched,encoder,contradiction,contradiction,0.0,0,fiction
419,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
420,0.85,matched,encoder,neutral,neutral,0.0,0,slate
421,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
422,0.85,matched,encoder,entailment,neutral,0.0,0,telephone
423,0.85,matched,encoder,entailment,contradiction,0.0,0,slate
424,0.85,matched,encoder,neutral,neutral,0.0,0,government
425,0.85,matched,encoder,entailment,entailment,0.0,0,government
426,0.85,matched,encoder,contradiction,contradiction,0.0,0,travel
427,0.85,matched,encoder,neutral,neutral,0.0,0,fiction
428,0.85,matched,encoder,entailment,entailment,0.0,0,travel
429,0.85,matched,encoder,neutral,neutral,0.0,0,government
430,0.85,matched,encoder,entailment,entailment,0.0,0,government
431,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
432,0.85,matched,encoder,neutral,neutral,0.0,0,travel
433,0.85,matched,encoder,neutral,neutral,0.0,0,government
434,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
435,0.85,matched,encoder,entailment,entailment,0.0,0,fiction
436,0.85,matched,encoder,entailment,entailment,0.0,0,government
437,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
438,0.85,matched,encoder,contradiction,contradiction,0.0,0,government
439,0.85,matched,encoder,entailment,entailment,0.0,0,government
440,0.85,matched,encoder,contradiction,contradiction,0.0,0,slate
441,0.85,matched,api,neutral,neutral,0.000315,123,government
442,0.85,matched,api,neutral,contradiction,0.0003875,146,slate
443,0.85,matched,encoder,neutral,neutral,0.0,0,travel
444,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
445,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
446,0.85,matched,encoder,neutral,neutral,0.0,0,slate
447,0.85,matched,encoder,contradiction,contradiction,0.0,0,telephone
448,0.85,matched,encoder,neutral,neutral,0.0,0,slate
449,0.85,matched,encoder,entailment,entailment,0.0,0,government
450,0.85,matched,encoder,entailment,entailment,0.0,0,telephone
