idx,prompt,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
87,P1_zero_shot,mismatched,This does not necessarily translate into a desire for clerical rule and the abolition of a secular state.,This definitely translates into the desire for only clerical rule.,nineeleven,contradiction,contradiction,Contradiction,70,3,73,0.000205
88,P1_zero_shot,mismatched,"The changes now going on have their analog in the last century, when technological innovations of the day like railroads, telegraph, and steam power'developed for purposes far afield of retail, apparel, or textiles'helped transform the mass distri-bution of goods and information.",Steam power definitely did not have any bearing on the distribution of goods and information. ,oup,contradiction,contradiction,Contradiction,114,3,117,0.000315
89,P1_zero_shot,mismatched,Perhaps Aman will sharpen his perspective and techniques and institute such interviews as a regular feature of Maledicta .,I hope Maledicta has no more interviews.,verbatim,contradiction,contradiction,Contradiction,69,3,72,0.0002025
90,P1_zero_shot,mismatched,"As it has been an exciting year for all of us, MCCOY, Inc. cannot do its part without the support of organizations like yours.","MCCOY, Inc. got to where it was on it's on.",letters,contradiction,contradiction,contradiction,81,3,84,0.0002324999999999
91,P1_zero_shot,mismatched,"( ) When cancer comes up I'm just pretty, pretty interested in it, to find out what they went through and I can relate to it.",I have had cancer myself and therefore can relate to it.,facetoface,neutral,neutral,Neutral,79,1,80,0.0002075
92,P1_zero_shot,mismatched,"According to Vygotsky, children's greatest self-control occurs during make-believe play.",Vygotsky believes that adults are unable to handle imaginary play due to their self-control levels.,oup,contradiction,neutral,Neutral,76,1,77,0.0002
93,P1_zero_shot,mismatched,"Goin' cut him if he stan' still, goin' shoot him if he run.",I will cut him if he stands still and I'm going to shoot him if he runs away.,verbatim,entailment,entailment,Entailment,77,3,80,0.0002225
94,P1_zero_shot,mismatched,The idiom dressed to the nines could be from Middle English dressed to then eynes `dressed to the eyes.,The Middle English didn't have idioms.,verbatim,contradiction,contradiction,contradiction,72,3,75,0.00021
95,P1_zero_shot,mismatched,Then he came and we stayed on in the same place.,We were in the same place when he arrived.,facetoface,entailment,entailment,Entailment,60,3,63,0.0001799999999999
96,P1_zero_shot,mismatched,"At the same time, Boston Center realized that a message transmitted just before 8:25 by the hijacker pilot of American 11 included the phrase, We have some planes.",No messages were transmitted by hijackers before 8:30.,nineeleven,contradiction,contradiction,Contradiction,87,3,90,0.0002475
97,P1_zero_shot,mismatched,"Hani Hanjour, assigned to seat 1B (first class), soon followed.",Hani Hanjour was assigned to seat 1b.,nineeleven,entailment,entailment,Entailment,68,3,71,0.0002
98,P1_zero_shot,mismatched,"bite the bullet If you visit a Revolutionary War battle site, like Fort Ticonderoga, you may see some gruesome artifacts in its museum'bullets with teeth marks in them.",Some of the artifacts at the battle site might be disturbing/upsetting.,verbatim,entailment,entailment,entailment,90,3,93,0.000255
99,P1_zero_shot,mismatched,Tell me about Batman.,Speak to me about Batman.,facetoface,entailment,entailment,entailment,49,3,52,0.0001525
100,P1_zero_shot,mismatched,"As United 93 left Newark, the flight's crew members were unaware of the hijacking of American 11.",As the flight United 93 left Newark the crew members were tragically unaware of the hijacking of American 11.,nineeleven,entailment,entailment,Entailment,85,3,88,0.0002424999999999
101,P1_zero_shot,mismatched,"oy not so much a word as an entire vocabulary, as Rosten   can express any emotion, from trivial delight to the blackest woe. ",Oy is not a versatile word at all.,verbatim,contradiction,contradiction,Contradiction,78,3,81,0.000225
102,P1_zero_shot,mismatched,Bin Ladin had an important part in this activity.,Bin Ladin's role in the proceedings was significant.,nineeleven,entailment,entailment,Entailment,60,3,63,0.0001799999999999
103,P1_zero_shot,mismatched,Your past support of the Challenger program has been critical to its success these last four years.,Your past support included financial support to the program,letters,neutral,neutral,Neutral,66,1,67,0.000175
104,P1_zero_shot,mismatched,We invite you to sponsor a bench.,We find you ill-suited to sponsor a bench. ,letters,contradiction,contradiction,Contradiction,58,3,61,0.000175
105,P1_zero_shot,mismatched,"When he came home, it was harder controlling diabetes.",He has been dealing with diabetes since he was a child.,letters,neutral,neutral,Neutral,61,1,62,0.0001625
106,P1_zero_shot,mismatched,Do you read Dr. Seuss?,Do you read Dr. Seuss in school?,facetoface,neutral,neutral,Neutral,56,1,57,0.00015
107,P1_zero_shot,mismatched,"Jarrah stopped the violent maneuvers at about 10:01:00 and said,Allah is the greatest!",Jarrah praised Allah at around 10:01:00.,nineeleven,entailment,entailment,Entailment,75,3,78,0.0002175
108,P1_zero_shot,mismatched,"Finally, I would remind Mr. Henn that the point of the Vietnam war has nothing to do with whether we called the country 'Nam or Vietnam .  It is that today Russian military personnel operate their ships and planes out of our former base complex at Cam Ranh Bay while the political language Ho Chi Minh imported from Moscow is now current through all of Indo-China .","I stopped talking to Mr. Henn years ago, he's beyond help.",verbatim,contradiction,neutral,Neutral,127,1,128,0.0003275
109,P1_zero_shot,mismatched,"As a result, product proliferation represents a shift in the curve relating sales volume and variability (see Figure 7.4).",Sales volume and variability can be represented on a graph.,oup,entailment,entailment,Entailment,74,3,77,0.000215
110,P1_zero_shot,mismatched,6 million grant from Lilly Endowment Inc.,We won a 6 millioin grant from Lilly Endowment Inc.,letters,neutral,entailment,Entailment,63,3,66,0.0001875
111,P1_zero_shot,mismatched,"Furthermore, both language progress and an array of emergent-literacy skills can be predicted by the sheer amount of verbal interaction in the home during the first few years of life'a relationship that holds for children of all socioeconomic levels.",Language progress and literacy skills can be predicted.,oup,entailment,entailment,Entailment,92,3,95,0.00026
112,P1_zero_shot,mismatched,"A Feminist Dictionary , edited by influential Cheris Kramarae and Paula Treichler along with Ann Russo, suggests the style and the substance of some recent feminist discourse.",Cheris Kramarae published a book criticizing the style and substance of recent feminist arguments.,verbatim,contradiction,neutral,Neutral,93,1,94,0.0002425
113,P1_zero_shot,mismatched,"Boston Center TMU [Traffic Management Unit], we have a problem here.",Boston Center TMU [Traffic Management Unit]: all is clear and well.,nineeleven,contradiction,contradiction,Contradiction,68,3,71,0.0002
114,P1_zero_shot,mismatched,Dentistry has been a part of my life for as long as I can remember.,Dentistry has been in my life since I can remember.,letters,entailment,entailment,Entailment,65,3,68,0.0001925
115,P1_zero_shot,mismatched,"The environment, including the social environment, is available for children to interact with as they make sense of their experiences, but it does not determine the evolution of the child's mind.","In addition to their social environment, children also make sense of their experiences even when alone.",oup,neutral,neutral,Neutral,91,1,92,0.0002375
116,P1_zero_shot,mismatched,"Uh, so yeah, I took up a lot of her life and she read a lot of children's stories to me as a result of that, but I don't believe she read a lot for her own amusement.",I do not believe she read at all.,facetoface,contradiction,contradiction,Contradiction,89,3,92,0.0002525
117,P1_zero_shot,mismatched,.. Defication of humankind as supreme. ,Humankind is not supreme. ,verbatim,contradiction,contradiction,Contradiction,55,3,58,0.0001675
118,P1_zero_shot,mismatched,"I was asleep, but Luigi was awake, and he thought he detected a vague form nearing the bed.",The room was quiet the whole time with nothing unusual.,verbatim,contradiction,contradiction,Contradiction,70,3,73,0.000205
119,P1_zero_shot,mismatched,These are artists who are either emerging as leaders in their fields or who have already become well known.,These artists are famous in other fields as well.,letters,neutral,neutral,Neutral,68,1,69,0.00018
120,P1_zero_shot,mismatched,"I've not been able to corroborate this explanation, but I'll never forget it.","I corroborated this explanation, and will soon forget it.",verbatim,contradiction,contradiction,Contradiction,66,3,69,0.000195
121,P1_zero_shot,mismatched,Chapters 8 through 10 focus on the apparel industry; Chapters 11 and 12 look at textiles.,the last five chapters are about apparel and apparel related material.,oup,contradiction,neutral,Neutral,72,1,73,0.00019
122,P1_zero_shot,mismatched,"Whether clerical workers or executives, the majority confirmed the parental state of mind just  They complained of overly long workdays and frenetic home lives.",They did complain of workdays that were too long and a home life that was frenetic. ,oup,entailment,entailment,Entailment,88,3,91,0.00025
123,P1_zero_shot,mismatched,The space age began with the launch of Sputnik in October 1957.,In October 1957 the space age started after the launch of Sputnik.,letters,entailment,entailment,Entailment,68,3,71,0.0002
124,P1_zero_shot,mismatched,The idiom dressed to the nines could be from Middle English dressed to then eynes `dressed to the eyes.,The Middle English had a similar idiom.,verbatim,entailment,neutral,Neutral,73,1,74,0.0001925
125,P1_zero_shot,mismatched,The creation of a national highway system in the 1950s further fostered the development of mass retailing by opening vast new spaces in suburban malls.,The completion of national roads in the 50s helped the advancement of mass retailing.,oup,entailment,entailment,Entailment,87,3,90,0.0002475
126,P1_zero_shot,mismatched,We are most grateful for your support in whatever amount you can spare!,"Whatever you donate, we're thankful to receive it.",letters,entailment,entailment,Entailment,62,3,65,0.000185
127,P1_zero_shot,mismatched,'  Two plus ten equals twelve in any language.,Two plus ten is twenty in English,verbatim,contradiction,contradiction,Contradiction,57,3,60,0.0001725
