idx,hybrid,set,premise,hypothesis,genre,label_true,label_pred,source,avg_conf,deb_preds,tokens,cost_usd
33,v5_ensemble_gate,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,ensemble,0.9986696243286132,contradiction|contradiction|contradiction,0,0.0
34,v5_ensemble_gate,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,entailment,ensemble,0.9938507477442424,entailment|entailment|entailment,0,0.0
35,v5_ensemble_gate,matched,'I see.',I saw it.,fiction,entailment,entailment,ensemble,0.9909350872039796,entailment|entailment|entailment,0,0.0
36,v5_ensemble_gate,matched,"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",My last day in Louisian was very exciting.,fiction,contradiction,contradiction,ensemble,0.9995800256729126,contradiction|contradiction|contradiction,0,0.0
37,v5_ensemble_gate,matched,and the wind started blowing and it was one of my earlier trips to be really out in the middle of,I was glad that the wind was calm.,telephone,contradiction,contradiction,ensemble,0.9996027151743572,contradiction|contradiction|contradiction,0,0.0
38,v5_ensemble_gate,matched,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,fiction,neutral,neutral,ensemble,0.9825918674468994,neutral|neutral|neutral,0,0.0
39,v5_ensemble_gate,matched,Drinks are available and expensive.,Drinks cost a lot.,travel,entailment,entailment,ensemble,0.9952229261398317,entailment|entailment|entailment,0,0.0
40,v5_ensemble_gate,matched,I was to watch for an advertisement in the Times.,I was anticipating an ad in the newspaper. ,fiction,entailment,entailment,ensemble,0.9978637099266052,entailment|entailment|entailment,0,0.0
41,v5_ensemble_gate,matched,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,government,contradiction,contradiction,ensemble,0.9670215646425884,contradiction|contradiction|contradiction,0,0.0
42,v5_ensemble_gate,matched,"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,slate,entailment,neutral,ensemble,0.9982581933339436,neutral|neutral|neutral,0,0.0
43,v5_ensemble_gate,matched,"The Saving Mystery, or Where Did the Money Go?",The money was spent.,government,neutral,neutral,ensemble,0.975547730922699,neutral|neutral|neutral,0,0.0
44,v5_ensemble_gate,matched,yeah okay you go ahead,"No, do not go ahead.",telephone,contradiction,contradiction,ensemble,0.999962051709493,contradiction|contradiction|contradiction,0,0.0
45,v5_ensemble_gate,matched,so i really i really don't have heart burn at all with doing it myself over four nights tie i tied the car up if four days but we're fortunate we didn't need it,I think I should do it from now on to deal with my heartburn issues.,telephone,neutral,neutral,api,0.8444924354553223,contradiction|neutral|neutral,295,0.00268
46,v5_ensemble_gate,matched,well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"Eventually the temperature will reach eighty and then thirty below zero, it fluctuates.",telephone,entailment,entailment,ensemble,0.987850030263265,entailment|entailment|entailment,0,0.0
47,v5_ensemble_gate,matched,i think we have too thank you very much you too bye-bye,I don't think we can thank you enough for your help.,telephone,neutral,neutral,ensemble,0.9982826709747314,neutral|neutral|neutral,0,0.0
48,v5_ensemble_gate,matched,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was not ready for the cane plantations.,travel,contradiction,contradiction,ensemble,0.9996049602826436,contradiction|contradiction|contradiction,0,0.0
49,v5_ensemble_gate,matched,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,travel,entailment,entailment,ensemble,0.9984476963678997,entailment|entailment|entailment,0,0.0
50,v5_ensemble_gate,matched,but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,telephone,neutral,neutral,api,0.983760952949524,entailment|neutral|neutral,318,0.0028450000000000003
51,v5_ensemble_gate,matched,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","Eventually, the besieging soldiers had to give up and go home.",travel,neutral,neutral,ensemble,0.9994078079859416,neutral|neutral|neutral,0,0.0
52,v5_ensemble_gate,matched,i've even heard of some people being sexually abused,Some people are sexually abused.,telephone,entailment,entailment,ensemble,0.9959126710891724,entailment|entailment|entailment,0,0.0
53,v5_ensemble_gate,matched,Duke William returned from his conquest of England to attend the consecration of Notre-Dame in 1067.,Duke William failed to attend the consecration of Notre-Dame.,travel,contradiction,contradiction,ensemble,0.9997665484746298,contradiction|contradiction|contradiction,0,0.0
54,v5_ensemble_gate,matched,Diets for men in their prime,A plan to keep men fat.,fiction,contradiction,contradiction,ensemble,0.9986728032430012,contradiction|contradiction|contradiction,0,0.0
55,v5_ensemble_gate,matched,so you know it's something we we have tried to help but yeah,We did what we could to help.,telephone,entailment,entailment,ensemble,0.979557732741038,entailment|entailment|entailment,0,0.0
56,v5_ensemble_gate,matched,"Be of good cheer,","Be of good cheer, for beer time is near.",slate,neutral,neutral,ensemble,0.9994756976763408,neutral|neutral|neutral,0,0.0
57,v5_ensemble_gate,matched,well what is it,Don't tell me about it.,telephone,contradiction,contradiction,ensemble,0.999698519706726,contradiction|contradiction|contradiction,0,0.0
58,v5_ensemble_gate,matched,"Indeed, said San'doro.","Indeed, they said.",fiction,entailment,entailment,ensemble,0.9583610892295836,entailment|entailment|entailment,0,0.0
59,v5_ensemble_gate,matched,and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss,What programs do your friends like to watch?,telephone,neutral,neutral,ensemble,0.9812841216723124,neutral|neutral|neutral,0,0.0
60,v5_ensemble_gate,matched,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",government,neutral,neutral,ensemble,0.999455710252126,neutral|neutral|neutral,0,0.0
61,v5_ensemble_gate,matched,they take the football serious,Football is important to them.,telephone,entailment,entailment,ensemble,0.9918887813886008,entailment|entailment|entailment,0,0.0
62,v5_ensemble_gate,matched,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.",The book has quotes from various people including Lincoln and Jefferson.,slate,entailment,entailment,ensemble,0.9972480734189352,entailment|entailment|entailment,0,0.0
63,v5_ensemble_gate,matched,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses, is because of the fact that people prefer living in cities rather than rural areas.",government,neutral,contradiction,ensemble,0.9995480378468832,contradiction|contradiction|contradiction,0,0.0
64,v5_ensemble_gate,matched,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton wasn't exercising his Constitutional powers when he made the request.,government,contradiction,contradiction,api,0.8556048075358073,neutral|contradiction|contradiction,288,0.0026349999999998996
65,v5_ensemble_gate,matched,CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,government,neutral,neutral,ensemble,0.9986917773882548,neutral|neutral|neutral,0,0.0
66,v5_ensemble_gate,matched,"It is the official solution, Liq. ",This is officially the solution.,fiction,entailment,entailment,ensemble,0.996983528137207,entailment|entailment|entailment,0,0.0
67,v5_ensemble_gate,matched,"This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star  Pitiful Helpless Giant , starring former Secretary of State George Shultz.",Star Pitiful Helpless Giant is a show on UPN about politics.,slate,neutral,neutral,ensemble,0.991075336933136,neutral|neutral|neutral,0,0.0
68,v5_ensemble_gate,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,ensemble,0.9999077916145324,contradiction|contradiction|contradiction,0,0.0
69,v5_ensemble_gate,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,ensemble,0.9998703996340432,contradiction|contradiction|contradiction,0,0.0
70,v5_ensemble_gate,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,ensemble,0.997325599193573,entailment|entailment|entailment,0,0.0
71,v5_ensemble_gate,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,ensemble,0.9982635577519736,entailment|entailment|entailment,0,0.0
72,v5_ensemble_gate,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,entailment,ensemble,0.9976651072502136,entailment|entailment|entailment,0,0.0
73,v5_ensemble_gate,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,ensemble,0.9997816483179728,contradiction|contradiction|contradiction,0,0.0
74,v5_ensemble_gate,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,ensemble,0.9985219041506448,entailment|entailment|entailment,0,0.0
75,v5_ensemble_gate,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,entailment,ensemble,0.9924514691034952,entailment|entailment|entailment,0,0.0
76,v5_ensemble_gate,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,contradiction,ensemble,0.9993912974993387,contradiction|contradiction|contradiction,0,0.0
77,v5_ensemble_gate,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,entailment,ensemble,0.9617462555567424,entailment|entailment|entailment,0,0.0
78,v5_ensemble_gate,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,neutral,ensemble,0.99953422943751,neutral|neutral|neutral,0,0.0
79,v5_ensemble_gate,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,ensemble,0.9947017629941304,neutral|neutral|neutral,0,0.0
80,v5_ensemble_gate,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,ensemble,0.9998517632484436,contradiction|contradiction|contradiction,0,0.0
81,v5_ensemble_gate,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,ensemble,0.9982883532842,neutral|neutral|neutral,0,0.0
82,v5_ensemble_gate,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,ensemble,0.9976491729418436,entailment|entailment|entailment,0,0.0
83,v5_ensemble_gate,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,entailment,ensemble,0.9975624084472656,entailment|entailment|entailment,0,0.0
84,v5_ensemble_gate,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,contradiction,ensemble,0.9947940111160278,contradiction|contradiction|contradiction,0,0.0
85,v5_ensemble_gate,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,ensemble,0.9959662556648254,neutral|neutral|neutral,0,0.0
86,v5_ensemble_gate,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,contradiction,ensemble,0.999569853146871,contradiction|contradiction|contradiction,0,0.0
87,v5_ensemble_gate,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,ensemble,0.9999255736668904,contradiction|contradiction|contradiction,0,0.0
88,v5_ensemble_gate,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,ensemble,0.9950953125953674,entailment|entailment|entailment,0,0.0
89,v5_ensemble_gate,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,ensemble,0.997883399327596,entailment|entailment|entailment,0,0.0
90,v5_ensemble_gate,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,neutral,ensemble,0.9987904826800028,neutral|neutral|neutral,0,0.0
91,v5_ensemble_gate,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,entailment,ensemble,0.9935901363690696,entailment|entailment|entailment,0,0.0
92,v5_ensemble_gate,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,contradiction,ensemble,0.9790902733802797,contradiction|contradiction|contradiction,0,0.0
93,v5_ensemble_gate,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,ensemble,0.9996965130170188,contradiction|contradiction|contradiction,0,0.0
94,v5_ensemble_gate,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,ensemble,0.9999472300211588,contradiction|contradiction|contradiction,0,0.0
95,v5_ensemble_gate,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,neutral,ensemble,0.999673346678416,neutral|neutral|neutral,0,0.0
96,v5_ensemble_gate,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,entailment,ensemble,0.991939127445221,entailment|entailment|entailment,0,0.0
97,v5_ensemble_gate,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,contradiction,ensemble,0.9999444087346396,contradiction|contradiction|contradiction,0,0.0
98,v5_ensemble_gate,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,ensemble,0.9998112916946412,contradiction|contradiction|contradiction,0,0.0
99,v5_ensemble_gate,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,ensemble,0.9996569156646729,neutral|neutral|neutral,0,0.0
100,v5_ensemble_gate,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,ensemble,0.999899923801422,contradiction|contradiction|contradiction,0,0.0
101,v5_ensemble_gate,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,ensemble,0.9997081756591796,contradiction|contradiction|contradiction,0,0.0
102,v5_ensemble_gate,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,ensemble,0.9989817142486572,contradiction|contradiction|contradiction,0,0.0
103,v5_ensemble_gate,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,ensemble,0.9830878774325053,entailment|entailment|entailment,0,0.0
104,v5_ensemble_gate,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,contradiction,ensemble,0.9990782737731934,contradiction|contradiction|contradiction,0,0.0
105,v5_ensemble_gate,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,ensemble,0.9997944434483846,contradiction|contradiction|contradiction,0,0.0
106,v5_ensemble_gate,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,ensemble,0.9996716578801472,contradiction|contradiction|contradiction,0,0.0
107,v5_ensemble_gate,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,ensemble,0.999173859755198,contradiction|contradiction|contradiction,0,0.0
108,v5_ensemble_gate,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,neutral,ensemble,0.9875788489977518,neutral|neutral|neutral,0,0.0
109,v5_ensemble_gate,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,neutral,api,0.874335527420044,neutral|entailment|neutral,329,0.00304
110,v5_ensemble_gate,matched,Agricultural shows,Farm performances,travel,entailment,entailment,ensemble,0.9444703261057537,entailment|entailment|entailment,0,0.0
111,v5_ensemble_gate,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,contradiction,ensemble,0.9998193184534708,contradiction|contradiction|contradiction,0,0.0
112,v5_ensemble_gate,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,ensemble,0.9910529057184856,entailment|entailment|entailment,0,0.0
113,v5_ensemble_gate,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,neutral,ensemble,0.9984427889188132,neutral|neutral|neutral,0,0.0
114,v5_ensemble_gate,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,neutral,ensemble,0.9932231505711874,neutral|neutral|neutral,0,0.0
115,v5_ensemble_gate,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,ensemble,0.9992870489756266,neutral|neutral|neutral,0,0.0
116,v5_ensemble_gate,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,ensemble,0.9979347586631776,entailment|entailment|entailment,0,0.0
117,v5_ensemble_gate,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,neutral,ensemble,0.9956733187039694,neutral|neutral|neutral,0,0.0
118,v5_ensemble_gate,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,ensemble,0.9980992078781128,entailment|entailment|entailment,0,0.0
119,v5_ensemble_gate,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,entailment,ensemble,0.997456113497416,entailment|entailment|entailment,0,0.0
120,v5_ensemble_gate,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,ensemble,0.999066690603892,neutral|neutral|neutral,0,0.0
121,v5_ensemble_gate,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,neutral,ensemble,0.9982037742932638,neutral|neutral|neutral,0,0.0
122,v5_ensemble_gate,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,ensemble,0.9998521407445272,contradiction|contradiction|contradiction,0,0.0
