idx,prompt,set,premise,hypothesis,genre,label_true,predicted_label,raw_response,prompt_tokens,completion_tokens,total_tokens,cost_usd
10,P1_zero_shot,matched,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",Most methods use this technique.,government,entailment,entailment,Entailment,72,3,75,0.00021
11,P1_zero_shot,matched,yeah pay fifteen yeah yes i know yeah and when you pay fifteen dollars a month it sure takes a long time,"When you pay $15 a month, it takes a long time but I can't afford any more.",telephone,neutral,neutral,neutral,81,1,82,0.0002125
12,P1_zero_shot,matched,"As Ben Yagoda writes in the New York Times Book Review , somewhere along the way, Kidder must have decided not to write a book about Tommy O'Connor.",A book was written about Tommy O'Connor. ,slate,contradiction,contradiction,contradiction,84,3,87,0.00024
13,P1_zero_shot,matched,"And here, current history adds a major point.",Current history doesn't add any points to it.,slate,contradiction,contradiction,Contradiction,57,3,60,0.0001725
14,P1_zero_shot,matched,FDA suggests there may be an association between BSE and a form of human TSE known as new variant Creutzfeldt-Jakob disease.,The FDA found an association between the ESB to the EST.,government,contradiction,neutral,Neutral,81,1,82,0.0002125
15,P1_zero_shot,matched,"The pope, suggesting that Gen.",Gen is not being suggested in any way.,slate,contradiction,contradiction,contradiction,54,3,57,0.000165
16,P1_zero_shot,matched,"This site provides information links, tools, and resources developed for the benefit of the audit profession, including audit programs, best practices, and research services.",This site is a special portal for people who wish to make anonymous complaints about auditors.,government,contradiction,contradiction,Contradiction,85,3,88,0.0002424999999999
17,P1_zero_shot,matched,"This is the island's main city and financial, governmental, and administrative centre, and its charms match those of other Mediterranean  jewels.  ",The city is the island's governmental and financial centre. ,travel,entailment,entailment,Entailment,78,3,81,0.000225
18,P1_zero_shot,matched,"I don't know what I would have done without Legal Services, said James. ",James said Legal Services was of no help.,government,contradiction,contradiction,Contradiction,63,3,66,0.0001875
19,P1_zero_shot,matched,"Maps of hiking trails are available at the Government Publications Ceter, Low Block, Government Offices, 66 Queensway in Central.",Hiking trail maps can be obtained at the Government Publications Center.,travel,entailment,entailment,Entailment,76,3,79,0.00022
20,P1_zero_shot,matched,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.","Chennai is a laid-back, quiet, and peaceful city.",travel,entailment,entailment,Entailment,73,3,76,0.0002125
21,P1_zero_shot,matched,was it bad,Was it not good?,telephone,entailment,entailment,Entailment,47,3,50,0.0001475
22,P1_zero_shot,matched,Egg cattle merry wedged marvelous,The cattle were merry.,fiction,entailment,neutral,neutral,50,1,51,0.000135
23,P1_zero_shot,matched,That's the second time you've made that sort of remark.,That's the second time you've made that sort of remark and I don't need anymore reminders.,fiction,neutral,neutral,Neutral,66,1,67,0.000175
24,P1_zero_shot,matched,"Restored in 1967, the beautiful exterior is complemented by the fine period furniture housed inside.",The restorations done to the structure is very promising.,travel,neutral,neutral,Neutral,69,1,70,0.0001825
25,P1_zero_shot,matched,Each of them was as tough as a thick tree and loyal to the death.,None of them were loyal to anything.,fiction,contradiction,contradiction,Contradiction,62,3,65,0.000185
26,P1_zero_shot,matched,he was he's of course uh i guess he's trained in this uh martial arts of some sort but the plot was bland the acting was bland It was just mostly centered upon his abilities to,The plot was boring because he was a bad actor.  ,telephone,neutral,neutral,neutral,87,1,88,0.0002275
27,P1_zero_shot,matched,Nowadays it is bordered by ancient columns and lined with expensive shops.,The shops have only been around for the last fifty years.,travel,neutral,neutral,Neutral,63,1,64,0.0001675
28,P1_zero_shot,matched,"The WP runs a piece inside reporting that during a church service last Sunday, Cardinal John O'Connor of New York criticized President Clinton from the pulpit for taking Catholic communion while in South Africa.",The WP runs a piece inside reporting ,slate,entailment,entailment,entailment,85,3,88,0.0002424999999999
29,P1_zero_shot,matched,yeah yeah if they do come up with a positive regardless of what uh what it was they detected uh we're required to go attend a uh a counseling session,Even if they say its more positive than what it seems we will have to go to a counseling session. ,telephone,entailment,entailment,entailment,91,3,94,0.0002575
30,P1_zero_shot,matched,She had thrown away her cloak and tied her hair back into a topknot to keep it out of the way.,She shaved her head.,fiction,contradiction,contradiction,Contradiction,67,3,70,0.0001975
31,P1_zero_shot,matched,"I'm not sentimental, you know."" She paused.",She claimed not to be sentimental. ,fiction,entailment,entailment,Entailment,56,3,59,0.0001699999999999
32,P1_zero_shot,matched,The best beach in Europe ' at least that's the verdict of its regulars.,Regular beachgoers say that it is the best in Europe.,travel,entailment,entailment,Entailment,67,3,70,0.0001975
33,P1_zero_shot,matched,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",The bank doubled interest rates as a way of checking this.,slate,contradiction,contradiction,Contradiction,84,3,87,0.00024
34,P1_zero_shot,matched,Don't miss the open-air market close by the wharves.,The open-air market near the wharves can't be missed.,travel,entailment,entailment,entailment,64,3,67,0.00019
35,P1_zero_shot,matched,'I see.',I saw it.,fiction,entailment,neutral,Neutral,46,1,47,0.000125
36,P1_zero_shot,matched,"My last afternoon in Louisian was supposed to be no different- but the hotel room was small and claustrophobic, and I was utterly bored.",My last day in Louisian was very exciting.,fiction,contradiction,contradiction,Contradiction,78,3,81,0.000225
37,P1_zero_shot,matched,and the wind started blowing and it was one of my earlier trips to be really out in the middle of,I was glad that the wind was calm.,telephone,contradiction,contradiction,Contradiction,69,3,72,0.0002025
38,P1_zero_shot,matched,"We shouldn't have been here as soon as this even, if it hadn't been for the fact that there was a smart doctor on the spot, who gave us the tip through the Coroner. ",The doctor could only help us through the Coroner.,fiction,neutral,neutral,Neutral,88,1,89,0.00023
39,P1_zero_shot,matched,Drinks are available and expensive.,Drinks cost a lot.,travel,entailment,entailment,Entailment,49,3,52,0.0001525
40,P1_zero_shot,matched,I was to watch for an advertisement in the Times.,I was anticipating an ad in the newspaper. ,fiction,entailment,entailment,Entailment,59,3,62,0.0001775
41,P1_zero_shot,matched,"They said that the current system reflects that diversity, with agencies developing new participation processes and information management systems as needed for their individual programs and communities.",They said that the old system reflects that diversity,government,contradiction,contradiction,Contradiction,77,3,80,0.0002225
42,P1_zero_shot,matched,"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,slate,entailment,entailment,Entailment,74,3,77,0.000215
43,P1_zero_shot,matched,"The Saving Mystery, or Where Did the Money Go?",The money was spent.,government,neutral,neutral,Neutral,54,1,55,0.000145
44,P1_zero_shot,matched,yeah okay you go ahead,"No, do not go ahead.",telephone,contradiction,contradiction,contradiction,51,3,54,0.0001575
45,P1_zero_shot,matched,so i really i really don't have heart burn at all with doing it myself over four nights tie i tied the car up if four days but we're fortunate we didn't need it,I think I should do it from now on to deal with my heartburn issues.,telephone,neutral,neutral,Neutral,90,1,91,0.000235
46,P1_zero_shot,matched,well that's right because uh one day it'll be eighty and the next day it'll be about thirty below i tell you what and uh,"Eventually the temperature will reach eighty and then thirty below zero, it fluctuates.",telephone,entailment,neutral,Neutral,80,1,81,0.00021
47,P1_zero_shot,matched,i think we have too thank you very much you too bye-bye,I don't think we can thank you enough for your help.,telephone,neutral,neutral,Neutral,65,1,66,0.0001725
48,P1_zero_shot,matched,"The cane plantations, increasingly in the hands of American tycoons, found a ready market in the US.",The US market was not ready for the cane plantations.,travel,contradiction,contradiction,contradiction,71,3,74,0.0002075
49,P1_zero_shot,matched,"There is a good restaurant in the village, in addition to a well-stocked mini-market for self-catering visitors.",The village has a restaurant.,travel,entailment,entailment,Entailment,68,3,71,0.0002
50,P1_zero_shot,matched,but i don't know you know  maybe you could do that for a certain period of time but i mean how long does that kind of a thing take you know to to um say to question the person or to get into their head,It might take a long time to do that because getting inside a person's head takes time.,telephone,neutral,neutral,neutral,103,1,104,0.0002675
51,P1_zero_shot,matched,"A conventional siege was useless against such a seemingly impregnable rock, however, and with so much food and water the Zealots could not be starved into submission.","Eventually, the besieging soldiers had to give up and go home.",travel,neutral,neutral,neutral,87,1,88,0.0002275
52,P1_zero_shot,matched,i've even heard of some people being sexually abused,Some people are sexually abused.,telephone,entailment,entailment,Entailment,54,3,57,0.000165
53,P1_zero_shot,matched,Duke William returned from his conquest of England to attend the consecration of Notre-Dame in 1067.,Duke William failed to attend the consecration of Notre-Dame.,travel,contradiction,contradiction,Contradiction,73,3,76,0.0002125
54,P1_zero_shot,matched,Diets for men in their prime,A plan to keep men fat.,fiction,contradiction,neutral,Neutral,53,1,54,0.0001425
55,P1_zero_shot,matched,so you know it's something we we have tried to help but yeah,We did what we could to help.,telephone,entailment,entailment,Entailment,60,3,63,0.0001799999999999
56,P1_zero_shot,matched,"Be of good cheer,","Be of good cheer, for beer time is near.",slate,neutral,neutral,Neutral,54,1,55,0.000145
57,P1_zero_shot,matched,well what is it,Don't tell me about it.,telephone,contradiction,neutral,Neutral,49,1,50,0.0001325
58,P1_zero_shot,matched,"Indeed, said San'doro.","Indeed, they said.",fiction,entailment,neutral,Neutral,50,1,51,0.000135
59,P1_zero_shot,matched,and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss,What programs do your friends like to watch?,telephone,neutral,neutral,neutral,93,1,94,0.0002425
60,P1_zero_shot,matched,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",government,neutral,neutral,Neutral,84,1,85,0.00022
61,P1_zero_shot,matched,they take the football serious,Football is important to them.,telephone,entailment,entailment,entailment,50,3,53,0.000155
62,P1_zero_shot,matched,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.",The book has quotes from various people including Lincoln and Jefferson.,slate,entailment,entailment,Entailment,77,3,80,0.0002225
63,P1_zero_shot,matched,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses, is because of the fact that people prefer living in cities rather than rural areas.",government,neutral,neutral,Neutral,123,1,124,0.0003175
64,P1_zero_shot,matched,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton wasn't exercising his Constitutional powers when he made the request.,government,contradiction,contradiction,contradiction,85,3,88,0.0002424999999999
65,P1_zero_shot,matched,CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,government,neutral,entailment,Entailment,52,3,55,0.0001599999999999
66,P1_zero_shot,matched,"It is the official solution, Liq. ",This is officially the solution.,fiction,entailment,entailment,Entailment,54,3,57,0.000165
67,P1_zero_shot,matched,"This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star  Pitiful Helpless Giant , starring former Secretary of State George Shultz.",Star Pitiful Helpless Giant is a show on UPN about politics.,slate,neutral,neutral,Neutral,90,1,91,0.000235
68,P1_zero_shot,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,Contradiction,96,3,99,0.00027
69,P1_zero_shot,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,Contradiction,64,3,67,0.00019
70,P1_zero_shot,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,Entailment,81,3,84,0.0002324999999999
71,P1_zero_shot,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,entailment,53,3,56,0.0001625
72,P1_zero_shot,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,neutral,Neutral,53,1,54,0.0001425
73,P1_zero_shot,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,Contradiction,56,3,59,0.0001699999999999
74,P1_zero_shot,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,Entailment,59,3,62,0.0001775
75,P1_zero_shot,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,neutral,neutral,83,1,84,0.0002175
76,P1_zero_shot,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,neutral,Neutral,56,1,57,0.00015
77,P1_zero_shot,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,neutral,Neutral,59,1,60,0.0001575
78,P1_zero_shot,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,neutral,Neutral,81,1,82,0.0002125
79,P1_zero_shot,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,neutral,83,1,84,0.0002175
80,P1_zero_shot,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,Contradiction,89,3,92,0.0002525
81,P1_zero_shot,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,Neutral,75,1,76,0.0001975
82,P1_zero_shot,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,Entailment,70,3,73,0.000205
83,P1_zero_shot,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,entailment,entailment,88,3,91,0.00025
84,P1_zero_shot,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,neutral,neutral,58,1,59,0.000155
85,P1_zero_shot,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,Neutral,78,1,79,0.000205
86,P1_zero_shot,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,contradiction,Contradiction,97,3,100,0.0002725
87,P1_zero_shot,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,Contradiction,106,3,109,0.000295
88,P1_zero_shot,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,Entailment,66,3,69,0.000195
89,P1_zero_shot,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,Entailment,81,3,84,0.0002324999999999
90,P1_zero_shot,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,neutral,Neutral,67,1,68,0.0001775
91,P1_zero_shot,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,neutral,Neutral,88,1,89,0.00023
92,P1_zero_shot,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,contradiction,contradiction,71,3,74,0.0002075
93,P1_zero_shot,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,Contradiction,72,3,75,0.00021
94,P1_zero_shot,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,Contradiction,53,3,56,0.0001625
95,P1_zero_shot,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,neutral,neutral,75,1,76,0.0001975
96,P1_zero_shot,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,neutral,Neutral,60,1,61,0.0001599999999999
97,P1_zero_shot,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,contradiction,contradiction,101,3,104,0.0002825
98,P1_zero_shot,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,contradiction,62,3,65,0.000185
99,P1_zero_shot,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,Neutral,62,1,63,0.000165
100,P1_zero_shot,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,Contradiction,78,3,81,0.000225
101,P1_zero_shot,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,Contradiction,66,3,69,0.000195
102,P1_zero_shot,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,Contradiction,68,3,71,0.0002
103,P1_zero_shot,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,Entailment,47,3,50,0.0001475
104,P1_zero_shot,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,contradiction,Contradiction,65,3,68,0.0001925
105,P1_zero_shot,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,contradiction,88,3,91,0.00025
106,P1_zero_shot,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,Contradiction,77,3,80,0.0002225
107,P1_zero_shot,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,Contradiction,86,3,89,0.000245
108,P1_zero_shot,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,entailment,entailment,59,3,62,0.0001775
109,P1_zero_shot,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,neutral,Neutral,86,1,87,0.000225
110,P1_zero_shot,matched,Agricultural shows,Farm performances,travel,entailment,neutral,Neutral,44,1,45,0.00012
111,P1_zero_shot,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,neutral,neutral,60,1,61,0.0001599999999999
112,P1_zero_shot,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,Entailment,54,3,57,0.000165
113,P1_zero_shot,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,neutral,neutral,64,1,65,0.00017
114,P1_zero_shot,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,neutral,Neutral,90,1,91,0.000235
115,P1_zero_shot,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,Neutral,83,1,84,0.0002175
116,P1_zero_shot,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,Entailment,54,3,57,0.000165
117,P1_zero_shot,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,entailment,Entailment,59,3,62,0.0001775
118,P1_zero_shot,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,Entailment,99,3,102,0.0002775
119,P1_zero_shot,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,entailment,Entailment,52,3,55,0.0001599999999999
120,P1_zero_shot,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,Neutral,68,1,69,0.00018
121,P1_zero_shot,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,neutral,Neutral,87,1,88,0.0002275
122,P1_zero_shot,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,Contradiction,73,3,76,0.0002125
123,P1_zero_shot,matched,Our review indicates that the Food and Drug Administration complied with the applicable requirements.,The Food and Drug Administration has strict requirements.,government,neutral,neutral,Neutral,62,1,63,0.000165
124,P1_zero_shot,matched,yeah it's definitely a way out of the way where  where as,I was able to find my way out of the corn maze,telephone,neutral,neutral,Neutral,65,1,66,0.0001725
125,P1_zero_shot,matched,"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",It is quicker to cross the island by bike than by car.,travel,neutral,neutral,Neutral,109,1,110,0.0002825
126,P1_zero_shot,matched,Everybody has this quote from NBA commissioner David  You cannot strike your boss and still hold your job--unless you play in the NBA.,"NBA commissioner has given the same quote to everybody, but he also talked about other things.",slate,neutral,neutral,Neutral,83,1,84,0.0002175
127,P1_zero_shot,matched,The game of billiards is also hot.,People hate playing billiards.,travel,contradiction,neutral,Neutral,53,1,54,0.0001425
128,P1_zero_shot,matched,"(Never mind the strictest reading, which supposes that creation took a week.)",Which supposes that the creation took a month.,slate,contradiction,contradiction,Contradiction,65,3,68,0.0001925
129,P1_zero_shot,matched,"Oh, yes, sir. Dorcas was looking very curiously at him and, to tell the truth, so was I. ",We had no interest in him at all.,fiction,contradiction,contradiction,contradiction,74,3,77,0.000215
130,P1_zero_shot,matched,"When the next modernist revolution comes around, he'll be ready.",They have been prepping for years.,slate,neutral,neutral,Neutral,58,1,59,0.000155
131,P1_zero_shot,matched,couple of years ago i was thinking about moving to Massachusetts but uh boy i'm glad i didn't,I'm glad that I didn't move to Massachusetts.,telephone,entailment,entailment,entailment,66,3,69,0.000195
132,P1_zero_shot,matched,yeah so it's easy to do i'm actually interested in getting one of those kind of my wife has been talking about this in the past couple of years one of those kind of campers that pop-up so it's about uh maybe eight foot square and but only about two feet tall and when you get to where you're going it raises up and there's tenting material,I want to get one of those campers. ,telephone,entailment,entailment,Entailment,118,3,121,0.000325
133,P1_zero_shot,matched,yeah i've always threatened to take lessons but i've never gotten around to it,I have never gotten around to taking lessons.,telephone,entailment,entailment,Entailment,62,3,65,0.000185
134,P1_zero_shot,matched,um-hum with the ice yeah,With the sunshine and heat wave yes.,telephone,contradiction,neutral,neutral,54,1,55,0.000145
135,P1_zero_shot,matched,"This is one of the reasons we're growing too weak to fight the Satheri.  ""What's wrong with a ceremony of worship, if you must worship your eggshell?"" Dave asked.","Eggshell worship is the reason we're growing too weak to fight the Satheri, yet Dave asked about it.",fiction,entailment,neutral,neutral,99,1,100,0.0002575
136,P1_zero_shot,matched,"So unlike people who are fortunate enough to be able to afford attorneys and can go to another lawyer, our clients are simply lost in the legal system if they cannot get access to it from us.",Our clients can barely afford our legal assistance.,government,entailment,neutral,Neutral,86,1,87,0.000225
137,P1_zero_shot,matched,"Little is recorded about this group, but they were probably the ancestors of the Gododdin, whose feats are told in a seventh-century Old Welsh manuscript.",Gododdin's deeds were never written down because it was to be passed down only orally. ,travel,contradiction,neutral,Neutral,89,1,90,0.0002324999999999
138,P1_zero_shot,matched,Beyond the facade there are cavernous empty rooms.,The rooms are preserved how they historically looked.,travel,neutral,contradiction,Contradiction,57,3,60,0.0001725
139,P1_zero_shot,matched,Economic growth also depends on education to enhance the knowledge and skills of the nation's work,Economic growth has been increase quickly in recent years as knowledge is being spread faster and more efficiently.,government,neutral,neutral,Neutral,74,1,75,0.000195
140,P1_zero_shot,matched,Reports on attestation engagements should state that the engagement was made in accordance with generally accepted government auditing standards.,"To prevent fines, attestation engagements must have proof that they comply with government auditing standards.",government,neutral,neutral,Neutral,77,1,78,0.0002025
141,P1_zero_shot,matched,those little kids don't understand it,Those young children can't comprehend it. ,telephone,entailment,entailment,Entailment,53,3,56,0.0001625
142,P1_zero_shot,matched,These adaptations are not uniformly valued.,Adaptions are always valued ,government,contradiction,contradiction,Contradiction,51,3,54,0.0001575
143,P1_zero_shot,matched,"Thus, recent evidence suggests that by not including an estimate of reductions in short-term mortality due to changes in ambient ozone, both the Base and Alternative Estimates may underestimate the benefits of implementation of the Clear Skies Act.",Recent findings say that Base and Alternative estimates may not quite see all of the benefits of the Clear Skies Act.,government,entailment,entailment,Entailment,104,3,107,0.00029
144,P1_zero_shot,matched,paid back down it uh,I paid off the balance.,telephone,neutral,neutral,neutral,50,1,51,0.000135
