idx,hybrid,threshold,set,premise,hypothesis,genre,label_true,label_pred,source,enc_conf,tokens,cost_usd
53,v3_deberta_gpt4o_32shot,0.95,matched,Duke William returned from his conquest of England to attend the consecration of Notre-Dame in 1067.,Duke William failed to attend the consecration of Notre-Dame.,travel,contradiction,contradiction,encoder,0.9997304081916808,0,0.0
54,v3_deberta_gpt4o_32shot,0.95,matched,Diets for men in their prime,A plan to keep men fat.,fiction,contradiction,contradiction,encoder,0.9996999502182008,0,0.0
55,v3_deberta_gpt4o_32shot,0.95,matched,so you know it's something we we have tried to help but yeah,We did what we could to help.,telephone,entailment,entailment,encoder,0.987356424331665,0,0.0
56,v3_deberta_gpt4o_32shot,0.95,matched,"Be of good cheer,","Be of good cheer, for beer time is near.",slate,neutral,neutral,encoder,0.9997281432151794,0,0.0
57,v3_deberta_gpt4o_32shot,0.95,matched,well what is it,Don't tell me about it.,telephone,contradiction,contradiction,encoder,0.9997814297676086,0,0.0
58,v3_deberta_gpt4o_32shot,0.95,matched,"Indeed, said San'doro.","Indeed, they said.",fiction,entailment,entailment,encoder,0.9662838578224182,0,0.0
59,v3_deberta_gpt4o_32shot,0.95,matched,and so i have really enjoyed that but but there are i do have friends that watch programs like they want to see a particular program and they are either home watching it or definitely recording it they have some programs that they won't miss,What programs do your friends like to watch?,telephone,neutral,neutral,encoder,0.9770815968513488,0,0.0
60,v3_deberta_gpt4o_32shot,0.95,matched,"Prior to 1986, the United States had been a net creditor because its holdings of foreign assets exceeded foreign holdings of U.S. assets.","For many, this was considered the best position the US had ever been in financially.",government,neutral,neutral,encoder,0.999583661556244,0,0.0
61,v3_deberta_gpt4o_32shot,0.95,matched,they take the football serious,Football is important to them.,telephone,entailment,entailment,encoder,0.9963841438293456,0,0.0
62,v3_deberta_gpt4o_32shot,0.95,matched,"The book is a parody of Bartlett's , serving up quotes from Lincoln, Jefferson, and Roger Rosenblatt with equal pomposity.",The book has quotes from various people including Lincoln and Jefferson.,slate,entailment,entailment,encoder,0.9979842901229858,0,0.0
63,v3_deberta_gpt4o_32shot,0.95,matched,"Part of the reason for the difference in pieces per possible delivery may be due to the fact that five percent of possible residential deliveries are businesses, and it is thought, but not known, that a lesser percentage of possible deliveries on rural routes are businesses.","We all know that the reason for a lesser percentage of possible deliveries on rural routes being businesses, is because of the fact that people prefer living in cities rather than rural areas.",government,neutral,contradiction,encoder,0.9995946288108826,0,0.0
64,v3_deberta_gpt4o_32shot,0.95,matched,"Most recently, GAO reviewed activities of the White House China Trade Relations Working Group, which was established at the request of President Clinton in the exercise of his Constitutional powers.",President Clinton wasn't exercising his Constitutional powers when he made the request.,government,contradiction,contradiction,encoder,0.9544343948364258,0,0.0
65,v3_deberta_gpt4o_32shot,0.95,matched,CHAPTER 6: HUMAN CAPITAL,Human capital includes the workforce.,government,neutral,neutral,encoder,0.999647855758667,0,0.0
66,v3_deberta_gpt4o_32shot,0.95,matched,"It is the official solution, Liq. ",This is officially the solution.,fiction,entailment,entailment,encoder,0.9978233575820924,0,0.0
67,v3_deberta_gpt4o_32shot,0.95,matched,"This is an excerpt from the voice-over credo read in the opening credits for the new UPN series Star  Pitiful Helpless Giant , starring former Secretary of State George Shultz.",Star Pitiful Helpless Giant is a show on UPN about politics.,slate,neutral,neutral,encoder,0.999133288860321,0,0.0
68,v3_deberta_gpt4o_32shot,0.95,matched,"Also, I will be assuming that the 6.0a cost of the Postal Service to take the mail from basic to workshared condition is constant as limited quantities of mail move back and forth between basic and workshared.",I will make no assumptions about the costs to the postal service.,government,contradiction,contradiction,encoder,0.999971866607666,0,0.0
69,v3_deberta_gpt4o_32shot,0.95,matched,You'll find galleries in all the major towns and in some of the smaller villages.,The major towns have banned the existence of galleries.,travel,contradiction,contradiction,encoder,0.9998819828033448,0,0.0
70,v3_deberta_gpt4o_32shot,0.95,matched,"Similarly, OIM revised the electronic Grant Renewal Application to accommodate new information sought by LSC and to ensure greater ease for users.",Changes were made to the Grant Renewal Application to provide extra information to the LSC.,government,entailment,entailment,encoder,0.9967387318611144,0,0.0
71,v3_deberta_gpt4o_32shot,0.95,matched,um-hum what is your worst then,Then what is your worst?,telephone,entailment,entailment,encoder,0.9984369874000548,0,0.0
72,v3_deberta_gpt4o_32shot,0.95,matched,Slate 's Joseph Nocera.,Nocera works for Slate.,slate,entailment,entailment,encoder,0.9967376589775084,0,0.0
73,v3_deberta_gpt4o_32shot,0.95,matched,That's an opportunity that very few people have had.,Pretty much everyone has that opportunity. ,government,contradiction,contradiction,encoder,0.9997797608375548,0,0.0
74,v3_deberta_gpt4o_32shot,0.95,matched,Cybernetics had always been Derry's passion.,Derry had a passion for cybernetics.,fiction,entailment,entailment,encoder,0.9983684420585632,0,0.0
75,v3_deberta_gpt4o_32shot,0.95,matched,"Consistent with GAO's Congressional Protocols, GAO will then offer the requester(s) a draft of the product that is with the agency for comment.",The agency received a draft of the product from the GAO.,government,entailment,entailment,encoder,0.996768355369568,0,0.0
76,v3_deberta_gpt4o_32shot,0.95,matched,"Merrion Square West, Dublin 2.","Merrion Square East, Dublin 2.",travel,contradiction,contradiction,encoder,0.9993522763252258,0,0.0
77,v3_deberta_gpt4o_32shot,0.95,matched,that's neat just supervised more or less than anything and security i guess for them,They just supervise people.,telephone,entailment,neutral,api,0.9498064517974854,1606,0.0040225
78,v3_deberta_gpt4o_32shot,0.95,matched,"Although this award will now be handed out annually, Bailey was selected for several years of his commitment.","Bailey may have won several times, but it was a humbling experience each time the award was given to him.",government,neutral,neutral,encoder,0.9994046688079834,0,0.0
79,v3_deberta_gpt4o_32shot,0.95,matched,um yeah that sounds kind of neat uh is location at all important to you like you know how far it is from your house or whatever,Location doesn't matter to some people but it may matter to you I don't know. ,telephone,neutral,neutral,encoder,0.9988681077957152,0,0.0
80,v3_deberta_gpt4o_32shot,0.95,matched,"A chancy road winding up to the 475-metre (1,560-foot) summit is likely to test the engine and suspension of your car, as well as your own persistence.",It is a short and easy trip to get to the summit.,travel,contradiction,contradiction,encoder,0.9999682903289796,0,0.0
81,v3_deberta_gpt4o_32shot,0.95,matched,"This tourist heartland is also home to 100,000 Jamaicans who live in the hills surrounding the town.",Beautiful white beaches are the reason this town is so popular with tourists.,travel,neutral,neutral,encoder,0.9996531009674072,0,0.0
82,v3_deberta_gpt4o_32shot,0.95,matched,because we don't always read the newspaper sometimes it just sits around for a while and then we just chuck it,Sometimes we throw the newspaper away without reading it.,telephone,entailment,entailment,encoder,0.9972249269485474,0,0.0
83,v3_deberta_gpt4o_32shot,0.95,matched,"In the 1980s, and as late as 1994, a major Republican theme was a sort of taunting, nyah-nyah populism.","For almost a decade, the main Republican theme was some form of populism.",slate,entailment,entailment,encoder,0.997646987438202,0,0.0
84,v3_deberta_gpt4o_32shot,0.95,matched,but how do you know  the good from the bad,Why care if it's good or bad?,telephone,contradiction,contradiction,encoder,0.991007387638092,0,0.0
85,v3_deberta_gpt4o_32shot,0.95,matched,"A funny place for a piece of brown paper, I mused. ","I looked down at my desk, which was a mess, as usual, and had some white and brown papers on it.",fiction,neutral,neutral,encoder,0.9992904663085938,0,0.0
86,v3_deberta_gpt4o_32shot,0.95,matched,"Up here, gazing out at strikingly lush mountains, you may find yourself higher than the clouds, which adds to the extraordinarily eerie atmosphere of the place.","Down here, you can see the gold mines from the old explorers, you are way lower than the sea level, so be careful.",travel,contradiction,contradiction,encoder,0.9998756647109984,0,0.0
87,v3_deberta_gpt4o_32shot,0.95,matched,"approaches for setting different requirements for sources that pose different levels of hazard (tiering); worst-case releases and other hazard assessment issues; accident information reporting; public participation; inherently safer approaches; and implementation and integration of section 112(r) with state programs, particularly state air permitting programs.",There are no hazards and therefore aren't any different requirements.,government,contradiction,contradiction,encoder,0.9999425411224364,0,0.0
88,v3_deberta_gpt4o_32shot,0.95,matched,The census of 1931 served as an alarm signal for the Malay national consciousness.,The 1931 Malay census was an alarm bell.,travel,entailment,entailment,encoder,0.9969047904014589,0,0.0
89,v3_deberta_gpt4o_32shot,0.95,matched,"The NYT , in its front-page coverage, says the plane was flying far lower than the rules for training missions allow.","According to the NYT, training missions did not allow planes to fly that low. ",slate,entailment,entailment,encoder,0.998059093952179,0,0.0
90,v3_deberta_gpt4o_32shot,0.95,matched,Five minutes later she smiled contentedly at her reflection in the glass.,She was looking at her reflection in the rearview mirror of her car.,fiction,neutral,neutral,encoder,0.9991843104362488,0,0.0
91,v3_deberta_gpt4o_32shot,0.95,matched,"To address these concerns, we supplement our Base Estimate of benefits with a series of sensitivity calculations that make use of other sources of concentration-response and valuation data for key benefits categories.",Some scenarios allow for supplemental data to be used in lieu of primary data.,government,entailment,entailment,encoder,0.9888073205947876,0,0.0
92,v3_deberta_gpt4o_32shot,0.95,matched,right yeah that's it's always handy to have that that credit card for whatever it is that you might need it for,It is not necessary to have a credit card.,telephone,contradiction,contradiction,encoder,0.9995869994163512,0,0.0
93,v3_deberta_gpt4o_32shot,0.95,matched,"The next year, he built himself a palace, Iolani, which can still be toured in Honolulu.",There are no palaces in Honolulu that can be toured.,travel,contradiction,contradiction,encoder,0.9996867179870604,0,0.0
94,v3_deberta_gpt4o_32shot,0.95,matched,I knew him and liked and respected him.,I never knew the man.,slate,contradiction,contradiction,encoder,0.9999761581420898,0,0.0
95,v3_deberta_gpt4o_32shot,0.95,matched,The Star reports that actress Jodie Foster is pregnant through artificial insemination.,It has been reported by The Star that Jodie Foster is pregnant with twins through artificial insemination.,slate,neutral,neutral,encoder,0.9996503591537476,0,0.0
96,v3_deberta_gpt4o_32shot,0.95,matched,Why bother to sacrifice your lives for dirt farmers and slavers?,People sacrifice their lives for farmers and slaves.,fiction,neutral,entailment,encoder,0.9944679737091064,0,0.0
97,v3_deberta_gpt4o_32shot,0.95,matched,"The street ends at Taksim Square (Taksim Meydane), the heart of modern Istanbul, lined with luxurious five-star hotels and the glass-fronted Ataturk Cultural Centre (Ataturk Keleter Sarayy), also called the Opera House.",There are only residential houses on the street.,travel,contradiction,contradiction,encoder,0.999954342842102,0,0.0
98,v3_deberta_gpt4o_32shot,0.95,matched,um-hum yeah i saw that for the first time yesterday in the evening,I have seen that many times before.,telephone,contradiction,contradiction,encoder,0.9998337030410768,0,0.0
99,v3_deberta_gpt4o_32shot,0.95,matched,yeah well the jury that originally sentenced him sentenced him to death,The sentence later got revised under review of a judge.,telephone,neutral,neutral,encoder,0.999642848968506,0,0.0
100,v3_deberta_gpt4o_32shot,0.95,matched,I hope that all key parties will take the necessary steps to address any real and perceived problems that serve to undercut public trust and confidence.,I hope that no key parties take steps to address problems.,government,contradiction,contradiction,encoder,0.999920129776001,0,0.0
101,v3_deberta_gpt4o_32shot,0.95,matched,Programs in Michigan and the District of Columbia received one-year grant terms for 2002.,Programs in Michigan receive no grants at all. ,government,contradiction,contradiction,encoder,0.9993558526039124,0,0.0
102,v3_deberta_gpt4o_32shot,0.95,matched,"Though the two cities remained unlinked by rail, this was about to change quickly.",The two cities had a railway between them that made travel easy.,travel,contradiction,contradiction,encoder,0.9978752136230468,0,0.0
103,v3_deberta_gpt4o_32shot,0.95,matched,I smiled vaguely.,I moved my face.,fiction,entailment,entailment,encoder,0.989008367061615,0,0.0
104,v3_deberta_gpt4o_32shot,0.95,matched,"Despite a recent renovation, the Meadows Mall is the least appealing of the three suburban malls.",The Meadows Mall is very popular and beautiful.,travel,contradiction,contradiction,encoder,0.9998565912246704,0,0.0
105,v3_deberta_gpt4o_32shot,0.95,matched,and then you can add cocoa powder to it to make chocolate or after it's thickened i cook it for a good once it starts boiling i just i cook it for a good seven minutes,I never bring it to a boil when I make cocoa.,telephone,contradiction,contradiction,encoder,0.99994158744812,0,0.0
106,v3_deberta_gpt4o_32shot,0.95,matched,"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all died quickly.,slate,contradiction,contradiction,encoder,0.9997873902320862,0,0.0
107,v3_deberta_gpt4o_32shot,0.95,matched,But a list of who's better than other people in some aspect or another is not inevitable and does not make the economy any more prosperous or society any richer in other ways.,A listing of those better than others is very helpful to the economy.,slate,contradiction,contradiction,encoder,0.9989113807678224,0,0.0
108,v3_deberta_gpt4o_32shot,0.95,matched,uh-huh you can't do that in a skirt  poor thing,You need to wear something else.,telephone,entailment,neutral,encoder,0.991179883480072,0,0.0
109,v3_deberta_gpt4o_32shot,0.95,matched,"First, the Comptroller General sends a written request to the agency head for the record that has not been made available to GAO within a reasonable time after an initial request.",They are given a proper amount of time to do the report.,government,entailment,neutral,api,0.6434391140937805,1633,0.00409
110,v3_deberta_gpt4o_32shot,0.95,matched,Agricultural shows,Farm performances,travel,entailment,neutral,api,0.8481212854385376,1590,0.0039825
111,v3_deberta_gpt4o_32shot,0.95,matched,Can you point me to housewares?,"Please point me in the direction of the pet supplies, I asked.",slate,contradiction,contradiction,encoder,0.999866247177124,0,0.0
112,v3_deberta_gpt4o_32shot,0.95,matched,Intifada to the Present,The extending from the Palestinian uprising until today.,travel,entailment,entailment,encoder,0.9867031574249268,0,0.0
113,v3_deberta_gpt4o_32shot,0.95,matched,"THEY ARE READY, returned Susan's voice in the back of his mind.",He cringed when he imagined Susan's voice.,fiction,neutral,neutral,encoder,0.9994730353355408,0,0.0
114,v3_deberta_gpt4o_32shot,0.95,matched,yeah well i was surprised at the the way they drafted last year they didn't really didn't go for the uh big offensive lineman or the defensive lineman they're going for the skilled positions so quarterbacks they really,I thought they should focus more on big linemen.,telephone,neutral,neutral,encoder,0.9953428506851196,0,0.0
115,v3_deberta_gpt4o_32shot,0.95,matched,"Small boats tie up here with batches of crayfish, fresh fish, and eel, and housewives clamor for the fishermen to weigh their choices on rudimentary scales.",They fisherman caught 500 pounds of fish today. ,travel,neutral,neutral,encoder,0.9992015957832336,0,0.0
116,v3_deberta_gpt4o_32shot,0.95,matched,They post loads of newspaper articles--Yahoo!,Yahoo contains articles from newspaper publications.,slate,entailment,entailment,encoder,0.998073935508728,0,0.0
117,v3_deberta_gpt4o_32shot,0.95,matched,oh i enjoyed it i mean it was just more for my money,The performance was a good deal.,telephone,neutral,neutral,encoder,0.9899735450744628,0,0.0
118,v3_deberta_gpt4o_32shot,0.95,matched,"External Validity The extent to which a finding applies (or can be generalized) to persons, objects, settings, or times other than those that were the subject of study.",The degree to which conclusions can be applied to objects and persons who weren't subjects in the initial study subject is called External Validity.,government,entailment,entailment,encoder,0.9982365369796752,0,0.0
119,v3_deberta_gpt4o_32shot,0.95,matched,"'Wait here,' I was ordered.",He told me to wait.,fiction,entailment,entailment,encoder,0.9978061318397522,0,0.0
120,v3_deberta_gpt4o_32shot,0.95,matched,"It's easy to overdose on the many temples, palaces, and museums in India.",Many temples and palaces are free to visit in the country.,travel,neutral,neutral,encoder,0.9997783303260804,0,0.0
121,v3_deberta_gpt4o_32shot,0.95,matched,"Nearby is the Monastery of Nea Moni, founded in 1049, and one of the most beautiful Byzantine religious sites in the Aegean.","Founded in 1049, the monastery was a beacon of light in the darkness.",travel,neutral,neutral,encoder,0.9987769722938538,0,0.0
122,v3_deberta_gpt4o_32shot,0.95,matched,excessively violent i was worried it's like golly if kids start imitating that,"It was non-violent, so it would be great for the kids to follow their lead.",telephone,contradiction,contradiction,encoder,0.9999502897262572,0,0.0
123,v3_deberta_gpt4o_32shot,0.95,matched,Our review indicates that the Food and Drug Administration complied with the applicable requirements.,The Food and Drug Administration has strict requirements.,government,neutral,neutral,encoder,0.9886763095855712,0,0.0
124,v3_deberta_gpt4o_32shot,0.95,matched,yeah it's definitely a way out of the way where  where as,I was able to find my way out of the corn maze,telephone,neutral,neutral,encoder,0.9996157884597778,0,0.0
125,v3_deberta_gpt4o_32shot,0.95,matched,"Traffic, also, has been controlled, and if you're staying here you might want to consider getting around by bicycle; there's no better way to explore an island that measures no more than 20 km (121.2 miles) from end to end, one-fifth the size of Ibiza.",It is quicker to cross the island by bike than by car.,travel,neutral,neutral,encoder,0.998040735721588,0,0.0
126,v3_deberta_gpt4o_32shot,0.95,matched,Everybody has this quote from NBA commissioner David  You cannot strike your boss and still hold your job--unless you play in the NBA.,"NBA commissioner has given the same quote to everybody, but he also talked about other things.",slate,neutral,neutral,encoder,0.999303936958313,0,0.0
